contrast,site_sys,ratio,std.error,df,z.ratio,p.value,loo,SE,asymp.LCL,asymp.UCL
ccrye / no,Central_B44_silage,0.38880220567742063,0.12586819696754914,Inf,-2.9180955880347046,0.0035217637219365472,13,0.12586819696754914,0.22828091525104527,0.662197954539413
ccrye / no,East_S_grain,0.6525979990057065,0.2485655799205676,Inf,-1.1205287756877784,0.262488497237445,13,0.2485655799205676,0.34878624302864725,1.2210462907256134
ccrye / no,West_F_grain,0.699496263211676,0.24219905257669502,Inf,-1.032193740235656,0.30198136691590927,13,0.24219905257669502,0.39577009641709654,1.2363112490728385
ccrye / no,Central_B42_grain,2.3253567381886433,0.8385310393826296,Inf,2.340171980902537,0.01927486176141657,14,0.8385310393826296,1.2849682514889293,4.20810705134057
ccrye / no,Central_B44_grain,0.8272558380859766,0.3114894571864508,Inf,-0.5036505995740149,0.6145069286287683,14,0.3114894571864508,0.44531044483521987,1.5367980463619382
ccrye / no,Central_B44_silage,0.3885361713351623,0.13216162853602695,Inf,-2.779248856804123,0.005448476651512384,14,0.13216162853602695,0.22204606599929508,0.6798605314460548
ccrye / no,East_S_grain,0.6531241162837874,0.2603047360830724,Inf,-1.068836101540321,0.2851435287741572,14,0.2603047360830724,0.3390696119019565,1.2580635252999999
ccrye / no,West_F_grain,0.699387793879242,0.25552086537125623,Inf,-0.9786521352805887,0.32775188967750524,14,0.25552086537125623,0.38346915736534115,1.2755739981488352
ccrye / no,Central_B42_grain,2.358495304692036,0.7564428729124113,Inf,2.6752121723426883,0.00746819697620495,15,0.7564428729124113,1.3916193435004864,3.9971419829954633
ccrye / no,Central_B44_grain,0.6071194774724564,0.19797031433189993,Inf,-1.5303841703753804,0.1259216648768213,15,0.19797031433189993,0.3550893967343333,1.038031727548877
ccrye / no,Central_B44_silage,0.38959434120924,0.11612703532680602,Inf,-3.1624918820501273,0.001564250968923639,15,0.11612703532680602,0.23860793891235385,0.636121963896664
ccrye / no,East_S_grain,0.6531512502646023,0.23058823376108648,Inf,-1.2065122274372728,0.227620047321393,15,0.23058823376108648,0.36544299988474094,1.1673682512916184
ccrye / no,West_F_grain,0.6999325687106083,0.2214361582585344,Inf,-1.1277103058103215,0.25944228383381757,15,0.2214361582585344,0.41596669753017673,1.1777519778642607
ccrye / no,Central_B42_grain,2.3388940473275595,0.7979280112410717,Inf,2.4905846501906455,0.012753311166663978,16,0.7979280112410717,1.3344594612350373,4.099356723479208
ccrye / no,Central_B44_grain,1.0012846915315616,0.35552927605023804,Inf,0.0036157821061959102,0.9971150295685334,16,0.35552927605023804,0.5583554921806703,1.7955783502368534
ccrye / no,Central_B44_silage,0.38787051776261106,0.12396244987289756,Inf,-2.9633639071933495,0.0030429658705656048,16,0.12396244987289756,0.22928836587209653,0.6561324556404122
ccrye / no,East_S_grain,0.6523870451417202,0.24559773177505584,Inf,-1.1345616625285788,0.2565590238859679,16,0.24559773177505584,0.3512211748452673,1.2117972581130663
ccrye / no,West_F_grain,0.69959650149665,0.23884869906977407,Inf,-1.046402706449057,0.2953751437297166,16,0.23884869906977407,0.398989675711901,1.2266865402797023
ccrye / no,Central_B42_grain,2.32547391818419,0.8380476720785422,Inf,2.3417795632669036,0.01919204652663704,17,0.8380476720785422,1.2855108466795968,4.206754815117314
ccrye / no,Central_B44_grain,0.8608063926290235,0.3236071319860893,Inf,-0.3987011543043834,0.690113417235136,17,0.3236071319860893,0.4638270730345229,1.5975515201024937
ccrye / no,Central_B44_silage,0.3883585944981106,0.13200880971793238,Inf,-2.7825394109649113,0.005393531422071312,17,0.13200880971793238,0.22203147176649277,0.6792838723294399
ccrye / no,East_S_grain,0.653091438551094,0.26012526423306526,Inf,-1.0696456445239906,0.2847788413918602,17,0.26012526423306526,0.3391948114007193,1.2574733243924638
ccrye / no,West_F_grain,0.6994046686162181,0.25533293967083087,Inf,-0.9793299659917418,0.3274169687468254,17,0.25533293967083087,0.3836534926215824,1.2750226438434977
